source_name,n_detections,n_classified,n_abstained,final_classification,agreement_count,agreement_rate,n_unique_classes,all_classes,avg_confidence_final_class,avg_confidence_all,interestingness_score,bmu_x,bmu_y,edge_bmu,truncated_R
2CXO J195952.7+404819,50,18,32,Binaries,9,0.5,4,"{'Stars': 2, 'Binaries': 9, 'AGN': 6, 'YSO': 1}",0.6589,0.6484,100.0,28,17,False,False
2CXO J004353.6+411655,24,8,16,Binaries,3,0.375,3,"{'Stars': 2, 'Binaries': 3, 'YSO': 3}",0.6038,0.601,45.0,1,26,False,False
2CXO J232328.8+584943,26,7,19,Stars,4,0.5714,2,"{'Stars': 4, 'YSO': 3}",0.7224,0.7052,22.2857,29,14,False,False
2CXO J095551.4+694036,25,7,18,Binaries,4,0.5714,2,"{'AGN': 3, 'Binaries': 4}",0.7085,0.7557,21.4286,2,20,False,False
2CXO J004247.1+411628,76,37,39,Binaries,32,0.8649,2,"{'AGN': 5, 'Binaries': 32}",0.718,0.7136,20.5405,12,18,False,False
2CXO J004245.9+411036,13,4,9,AGN,2,0.5,3,"{'Stars': 1, 'AGN': 2, 'Binaries': 1}",0.7516,0.6705,19.5,24,13,False,False
2CXO J031948.2+413042,25,11,14,Binaries,7,0.6364,2,"{'AGN': 4, 'Binaries': 7}",0.8071,0.7644,18.1818,30,0,True,True
2CXO J173027.9-213142,9,3,6,Binaries,1,0.3333,3,"{'Stars': 1, 'YSO': 1, 'Binaries': 1}",0.6804,0.6453,18.0,34,0,True,True
2CXO J055646.2-331026,8,3,5,Binaries,1,0.3333,3,"{'YSO': 1, 'Binaries': 1, 'Stars': 1}",0.7659,0.6642,16.0,24,10,False,False
2CXO J171518.7+573931,10,6,4,Binaries,3,0.5,3,"{'YSO': 1, 'Binaries': 3, 'AGN': 2}",0.7257,0.6903,15.0,33,38,False,False
2CXO J095550.3+694036,12,6,6,AGN,3,0.5,2,"{'Binaries': 3, 'AGN': 3}",0.7883,0.7519,12.0,32,8,False,False
2CXO J053754.3-690222,23,4,19,Binaries,3,0.75,2,"{'Binaries': 3, 'YSO': 1}",0.5572,0.5582,11.5,33,18,False,False
2CXO J052516.7-693838,15,8,7,AGN,6,0.75,3,"{'Binaries': 1, 'AGN': 6, 'Stars': 1}",0.6963,0.6922,11.25,28,4,False,False
2CXO J132538.4-430203,15,8,7,YSO,6,0.75,3,"{'Binaries': 1, 'YSO': 6, 'Stars': 1}",0.677,0.6583,11.25,35,20,False,False
2CXO J052538.3-693542,16,3,13,Binaries,2,0.6667,2,"{'Binaries': 2, 'YSO': 1}",0.5638,0.6172,10.6667,3,37,False,False
2CXO J053429.2-052355,7,4,3,Stars,2,0.5,3,"{'Stars': 2, 'YSO': 1, 'Binaries': 1}",0.6658,0.6602,10.5,3,34,False,False
2CXO J104423.2-595938,8,5,3,Stars,3,0.6,3,"{'YSO': 1, 'Stars': 3, 'Binaries': 1}",0.6627,0.6916,9.6,0,32,True,True
2CXO J175233.2-293946,11,7,4,YSO,4,0.5714,2,"{'AGN': 3, 'YSO': 4}",0.6839,0.6647,9.4286,15,27,False,False
2CXO J004344.6+412410,11,5,6,Binaries,3,0.6,2,"{'Binaries': 3, 'AGN': 2}",0.6263,0.6736,8.8,19,16,False,False
2CXO J083453.0-451255,12,3,9,Binaries,2,0.6667,2,"{'Binaries': 2, 'YSO': 1}",0.5849,0.6459,8.0,36,3,False,False
2CXO J182218.0-160425,7,2,5,Stars,1,0.5,2,"{'Stars': 1, 'Binaries': 1}",0.6627,0.6133,7.0,0,31,True,True
2CXO J155614.5+662319,21,12,9,AGN,10,0.8333,2,"{'AGN': 10, 'YSO': 2}",0.7083,0.6968,7.0,23,33,False,False
2CXO J004248.4+412521,32,10,22,Binaries,9,0.9,2,"{'Binaries': 9, 'AGN': 1}",0.6039,0.6267,6.4,7,1,False,False
2CXO J232327.9+584842,36,12,24,Stars,11,0.9167,2,"{'Stars': 11, 'YSO': 1}",0.7105,0.7008,6.0,37,0,True,True
2CXO J010055.7-215329,4,4,0,AGN,2,0.5,3,"{'AGN': 2, 'YSO': 1, 'Binaries': 1}",0.8163,0.7588,6.0,12,12,False,False
2CXO J131327.4+363538,3,3,0,AGN,1,0.3333,3,"{'AGN': 1, 'Binaries': 1, 'YSO': 1}",0.8452,0.686,6.0,22,0,True,True
2CXO J010027.4-335111,13,9,4,AGN,7,0.7778,2,"{'AGN': 7, 'YSO': 2}",0.6331,0.6312,5.7778,5,28,False,False
2CXO J004244.8+411739,8,3,5,AGN,2,0.6667,2,"{'AGN': 2, 'Binaries': 1}",0.673,0.6823,5.3333,25,5,False,False
2CXO J181032.7-191754,8,3,5,YSO,2,0.6667,2,"{'YSO': 2, 'AGN': 1}",0.5473,0.5664,5.3333,15,29,False,False
2CXO J013402.0+303004,5,2,3,AGN,1,0.5,2,"{'Binaries': 1, 'AGN': 1}",0.8157,0.7091,5.0,13,21,False,False
2CXO J055154.5+323025,5,2,3,Binaries,1,0.5,2,"{'AGN': 1, 'Binaries': 1}",0.6027,0.5977,5.0,21,20,False,False
2CXO J104513.4-595752,5,2,3,YSO,1,0.5,2,"{'Binaries': 1, 'YSO': 1}",0.5922,0.5803,5.0,23,9,False,False
2CXO J163925.1+464146,5,2,3,YSO,1,0.5,2,"{'YSO': 1, 'Stars': 1}",0.7723,0.75,5.0,16,34,False,False
2CXO J175134.0-293103,5,2,3,Binaries,1,0.5,2,"{'YSO': 1, 'Binaries': 1}",0.7371,0.6752,5.0,36,24,False,False
2CXO J151349.7-590131,12,10,2,Stars,8,0.8,2,"{'Stars': 8, 'YSO': 2}",0.6352,0.6527,4.8,0,38,True,True
2CXO J020819.6+105743,7,6,1,Binaries,4,0.6667,2,"{'AGN': 2, 'Binaries': 4}",0.6931,0.6907,4.6667,20,9,False,False
2CXO J111133.6-603723,7,3,4,Binaries,2,0.6667,2,"{'Binaries': 2, 'YSO': 1}",0.695,0.6647,4.6667,39,28,True,True
